"population","benefit"
0,17.592
0,9.1302
0,13.662
0,11.854
0,6.8233
8.3829,11.886
7.4764,4.3483
8.5781,12
6.4862,6.5987
5.0546,3.8166
5.7107,3.2522
14.164,15.505
0,3.1551
0,7.2258
0,0.71618
0,3.5129
0,5.3048
5.1301,0.56077
6.4296,3.6518
7.0708,5.3893
6.1891,3.1386
20.27,21.767
5.4901,4.263
0,5.1875
0,3.0825
0,22.638
0,13.501
0,7.0467
13.176,14.692
22.203,24.147
5.2524,-1.22
6.5894,5.9966
9.2482,12.134
5.8918,1.8495
8.2111,6.5426
7.9334,4.5623
8.0959,4.1164
5.6063,3.3928
0,10.117
0,5.4974
0,0.55657
0,3.9115
0,5.3854
5.7737,2.4406
7.8247,6.7318
7.0931,1.0463
5.0702,5.1337
5.8014,1.844
11.7,8.0043
5.5416,1.0179
7.5402,6.7504
5.3077,1.8396
0,4.2885
0,4.9981
0,1.4233
0,-1.4211
0,2.4756
5.6397,4.6042
9.3102,3.9624
9.4536,5.4141
8.8254,5.1694
5.1793,-0.74279
21.279,17.929
14.908,12.054
0,17.054
0,4.8852
0,5.7442
0,7.7754
0,1.0173
0,20.992
10.136,6.6799
7.3345,4.0259
6.0062,1.2784
7.2259,3.3411
5.0269,-2.6807
6.5479,0.29678
7.5386,3.8845
5.0365,5.7014
10.274,6.7526
0,2.0576
0,0.47953
0,0.20421
0,0.67861
0,7.5435
0,5.3436
8.5172,4.2415
9.1802,6.7981
6.002,0.92695
5.5204,0.152
5.0594,2.8214
5.7077,1.8451
0,4.2959
0,7.2029
0,1.9869
8.2934,0.14454
13.394,9.0551
5.4369,0.61705
